starttime	seconds	ctime	dtime	ttime	wait
Fri May 27 18:29:41 2016	1464373781	0	1	1	0
Fri May 27 18:29:54 2016	1464373794	0	2	2	0
Fri May 27 18:28:29 2016	1464373709	0	11	11	0
Fri May 27 18:29:23 2016	1464373763	0	13	13	0
Fri May 27 18:29:05 2016	1464373745	0	15	15	0
Fri May 27 18:29:07 2016	1464373747	0	23	23	0
Fri May 27 18:28:30 2016	1464373710	0	28	28	0
Fri May 27 18:29:41 2016	1464373781	0	35	35	0
Fri May 27 18:28:34 2016	1464373714	0	37	37	0
Fri May 27 18:29:12 2016	1464373752	0	45	45	45
Fri May 27 18:29:20 2016	1464373760	0	45	45	45
Fri May 27 18:29:54 2016	1464373794	0	46	46	46
Fri May 27 18:28:41 2016	1464373721	0	46	46	46
Fri May 27 18:29:02 2016	1464373742	0	46	46	46
Fri May 27 18:29:18 2016	1464373758	0	46	46	46
Fri May 27 18:29:12 2016	1464373752	0	46	46	46
Fri May 27 18:28:47 2016	1464373727	0	46	46	46
Fri May 27 18:28:00 2016	1464373680	0	46	46	46
Fri May 27 18:27:57 2016	1464373677	0	46	46	46
Fri May 27 18:28:43 2016	1464373723	0	46	46	46
Fri May 27 18:29:04 2016	1464373744	0	46	46	46
Fri May 27 18:27:57 2016	1464373677	0	46	46	46
Fri May 27 18:28:18 2016	1464373698	0	46	46	46
Fri May 27 18:29:05 2016	1464373745	0	46	46	46
Fri May 27 18:28:41 2016	1464373721	0	46	46	46
Fri May 27 18:29:52 2016	1464373792	0	46	46	46
Fri May 27 18:29:29 2016	1464373769	0	46	46	46
Fri May 27 18:29:05 2016	1464373745	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:29:20 2016	1464373760	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:28:55 2016	1464373735	0	46	46	46
Fri May 27 18:29:03 2016	1464373743	0	46	46	46
Fri May 27 18:28:54 2016	1464373734	0	46	46	46
Fri May 27 18:29:50 2016	1464373790	0	46	46	46
Fri May 27 18:28:58 2016	1464373738	0	46	46	46
Fri May 27 18:28:18 2016	1464373698	0	46	46	46
Fri May 27 18:27:57 2016	1464373677	0	46	46	46
Fri May 27 18:28:54 2016	1464373734	0	46	46	46
Fri May 27 18:27:56 2016	1464373676	0	46	46	46
Fri May 27 18:29:12 2016	1464373752	0	46	46	46
Fri May 27 18:28:43 2016	1464373723	0	46	46	46
Fri May 27 18:28:00 2016	1464373680	0	46	46	46
Fri May 27 18:29:04 2016	1464373744	0	46	46	46
Fri May 27 18:28:18 2016	1464373698	0	46	46	46
Fri May 27 18:28:00 2016	1464373680	0	46	46	46
Fri May 27 18:28:56 2016	1464373736	0	46	46	46
Fri May 27 18:28:00 2016	1464373680	0	46	46	46
Fri May 27 18:28:01 2016	1464373681	0	46	46	46
Fri May 27 18:28:00 2016	1464373680	0	46	46	46
Fri May 27 18:28:28 2016	1464373708	0	46	46	46
Fri May 27 18:29:50 2016	1464373790	0	46	46	46
Fri May 27 18:27:59 2016	1464373679	0	46	46	46
Fri May 27 18:29:19 2016	1464373759	0	46	46	46
Fri May 27 18:29:19 2016	1464373759	0	46	46	46
Fri May 27 18:29:50 2016	1464373790	0	46	46	46
Fri May 27 18:28:57 2016	1464373737	0	46	46	46
Fri May 27 18:27:57 2016	1464373677	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:28:10 2016	1464373690	0	46	46	46
Fri May 27 18:28:59 2016	1464373739	0	46	46	46
Fri May 27 18:27:57 2016	1464373677	0	46	46	46
Fri May 27 18:28:23 2016	1464373703	0	46	46	46
Fri May 27 18:28:21 2016	1464373701	0	46	46	46
Fri May 27 18:28:59 2016	1464373739	0	46	46	46
Fri May 27 18:29:04 2016	1464373744	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:28:09 2016	1464373689	0	46	46	46
Fri May 27 18:27:59 2016	1464373679	0	46	46	46
Fri May 27 18:28:27 2016	1464373707	0	46	46	46
Fri May 27 18:27:56 2016	1464373676	0	46	46	46
Fri May 27 18:28:41 2016	1464373721	0	46	46	46
Fri May 27 18:28:59 2016	1464373739	0	46	46	46
Fri May 27 18:28:46 2016	1464373726	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:28:00 2016	1464373680	0	46	46	46
Fri May 27 18:29:31 2016	1464373771	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:28:25 2016	1464373705	0	46	46	46
Fri May 27 18:28:14 2016	1464373694	0	46	46	46
Fri May 27 18:28:28 2016	1464373708	0	46	46	46
Fri May 27 18:29:24 2016	1464373764	0	46	46	46
Fri May 27 18:27:56 2016	1464373676	0	46	46	46
Fri May 27 18:29:12 2016	1464373752	0	46	46	46
Fri May 27 18:28:00 2016	1464373680	0	46	46	46
Fri May 27 18:29:29 2016	1464373769	0	46	46	46
Fri May 27 18:27:57 2016	1464373677	0	46	46	46
Fri May 27 18:28:27 2016	1464373707	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:28:19 2016	1464373699	0	46	46	46
Fri May 27 18:28:17 2016	1464373697	0	46	46	46
Fri May 27 18:29:29 2016	1464373769	0	46	46	46
Fri May 27 18:28:24 2016	1464373704	0	46	46	46
Fri May 27 18:28:00 2016	1464373680	0	46	46	46
Fri May 27 18:27:59 2016	1464373679	0	46	46	46
Fri May 27 18:29:03 2016	1464373743	0	46	46	46
Fri May 27 18:27:59 2016	1464373679	0	46	46	46
Fri May 27 18:27:57 2016	1464373677	0	46	46	46
Fri May 27 18:29:13 2016	1464373753	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:29:29 2016	1464373769	0	46	46	46
Fri May 27 18:27:59 2016	1464373679	0	46	46	46
Fri May 27 18:28:17 2016	1464373697	0	46	46	46
Fri May 27 18:29:54 2016	1464373794	0	46	46	46
Fri May 27 18:28:26 2016	1464373706	0	46	46	46
Fri May 27 18:28:18 2016	1464373698	0	46	46	46
Fri May 27 18:27:59 2016	1464373679	0	46	46	46
Fri May 27 18:28:44 2016	1464373724	0	46	46	46
Fri May 27 18:27:56 2016	1464373676	0	46	46	46
Fri May 27 18:28:28 2016	1464373708	0	46	46	46
Fri May 27 18:27:56 2016	1464373676	0	46	46	46
Fri May 27 18:27:59 2016	1464373679	0	46	46	46
Fri May 27 18:29:54 2016	1464373794	0	46	46	46
Fri May 27 18:29:20 2016	1464373760	0	46	46	46
Fri May 27 18:29:15 2016	1464373755	0	46	46	46
Fri May 27 18:27:59 2016	1464373679	0	46	46	46
Fri May 27 18:28:23 2016	1464373703	0	46	46	46
Fri May 27 18:29:07 2016	1464373747	0	46	46	46
Fri May 27 18:28:15 2016	1464373695	0	46	46	46
Fri May 27 18:27:59 2016	1464373679	0	46	46	46
Fri May 27 18:28:00 2016	1464373680	0	46	46	46
Fri May 27 18:27:59 2016	1464373679	0	46	46	46
Fri May 27 18:29:26 2016	1464373766	0	46	46	46
Fri May 27 18:29:51 2016	1464373791	0	46	46	46
Fri May 27 18:27:56 2016	1464373676	0	46	46	46
Fri May 27 18:28:00 2016	1464373680	0	46	46	46
Fri May 27 18:28:00 2016	1464373680	0	46	46	46
Fri May 27 18:28:19 2016	1464373699	0	46	46	46
Fri May 27 18:27:57 2016	1464373677	0	46	46	46
Fri May 27 18:28:18 2016	1464373698	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:29:52 2016	1464373792	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:27:56 2016	1464373676	0	46	46	46
Fri May 27 18:28:00 2016	1464373680	0	46	46	46
Fri May 27 18:29:04 2016	1464373744	0	46	46	46
Fri May 27 18:28:21 2016	1464373701	0	46	46	46
Fri May 27 18:29:07 2016	1464373747	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:28:00 2016	1464373680	0	46	46	46
Fri May 27 18:29:12 2016	1464373752	0	46	46	46
Fri May 27 18:28:59 2016	1464373739	0	46	46	46
Fri May 27 18:28:11 2016	1464373691	0	46	46	46
Fri May 27 18:28:24 2016	1464373704	0	46	46	46
Fri May 27 18:29:12 2016	1464373752	0	46	46	46
Fri May 27 18:28:29 2016	1464373709	0	46	46	46
Fri May 27 18:29:14 2016	1464373754	0	46	46	46
Fri May 27 18:28:26 2016	1464373706	0	46	46	46
Fri May 27 18:28:01 2016	1464373681	0	46	46	46
Fri May 27 18:29:11 2016	1464373751	0	46	46	46
Fri May 27 18:28:54 2016	1464373734	0	46	46	46
Fri May 27 18:27:57 2016	1464373677	0	46	46	46
Fri May 27 18:29:11 2016	1464373751	0	46	46	46
Fri May 27 18:29:54 2016	1464373794	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:28:27 2016	1464373707	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:28:29 2016	1464373709	0	46	46	46
Fri May 27 18:29:54 2016	1464373794	0	46	46	46
Fri May 27 18:28:11 2016	1464373691	0	46	46	46
Fri May 27 18:28:48 2016	1464373728	0	46	46	46
Fri May 27 18:29:54 2016	1464373794	0	46	46	46
Fri May 27 18:27:56 2016	1464373676	0	46	46	46
Fri May 27 18:29:13 2016	1464373753	0	46	46	46
Fri May 27 18:28:45 2016	1464373725	0	46	46	46
Fri May 27 18:29:48 2016	1464373788	0	46	46	46
Fri May 27 18:28:49 2016	1464373729	0	46	46	46
Fri May 27 18:27:56 2016	1464373676	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:28:27 2016	1464373707	0	46	46	46
Fri May 27 18:27:58 2016	1464373678	0	46	46	46
Fri May 27 18:29:50 2016	1464373790	0	46	46	46
Fri May 27 18:29:04 2016	1464373744	0	46	46	46
Fri May 27 18:29:54 2016	1464373794	0	46	46	46
Fri May 27 18:28:24 2016	1464373704	0	46	46	46
Fri May 27 18:28:02 2016	1464373682	0	46	46	46
Fri May 27 18:27:56 2016	1464373676	0	46	46	46
Fri May 27 18:29:03 2016	1464373743	0	46	46	46
Fri May 27 18:28:00 2016	1464373680	0	46	46	46
Fri May 27 18:28:10 2016	1464373690	0	46	46	46
Fri May 27 18:28:28 2016	1464373708	0	46	46	46
